,score,content,label,cleaned_content,content_stopWord,stemmed_content
10,1,"Harusnya walaupun pembayaran pake OVO, harusnya ada saldo akun jg. Lah ini udh lama ga pake grab, sekalinya masuk akun langsung top up (salah saya jg tidak hati2) tp ternyata mau mesen malah ga ada pilihan saldo. Pas aktifin OVO katanya saldo Grab akan otomatis bisa dipakai, apaan tetep ga bisa tuh aneh. Sudah email CS semoga dana bisa di kembalikan",negatif,harusnya walaupun pembayaran pake ovo harusnya ada saldo akun jg lah ini udh lama ga pake grab sekalinya masuk akun langsung top up salah saya jg tidak hati tp ternyata mau mesen malah ga ada pilihan saldo pas aktifin ovo katanya saldo grab akan otomatis bisa dipakai apaan tetep ga bisa tuh aneh sudah email cs semoga dana bisa di kembalikan,pembayaran pake ovo saldo akun jg udh ga pake grab sekalinya masuk akun langsung top up salah jg hati tp mesen ga pilihan saldo pas aktifin ovo saldo grab otomatis dipakai tetep ga tuh aneh email cs semoga dana kembalikan,bayar pake ovo saldo akun jg udh ga pake grab sekali masuk akun langsung top up salah jg hati tp mesen ga pilih saldo pas aktifin ovo saldo grab otomatis pakai tetep ga tuh aneh email cs moga dana kembali
11,5,saya gak bisa instal grab di asus max pro m1. tolong di perbaiki. via apk maupun playstore.. padahal sebelumnya bisa. karena di suruh update.. makanya saya instal lagi..,positif,saya gak bisa instal grab di asus max pro m tolong di perbaiki via apk maupun playstore padahal sebelumnya bisa karena di suruh update makanya saya instal lagi,gak instal grab asus max pro m tolong perbaiki via apk playstore suruh update instal,gak instal grab asus max pro m tolong baik via apk playstore suruh update instal
12,4,"Atention. Please Kepada grab officer, mohon helm untuk penumpang di review secara berkala, helm tidak layak pakai jangan di gunakan, seperti -helm tanpa kaca,helm kaca kabur, kaca tidak bisa di hold / tidak bisa buka tutup, helm kotor, helm berbulu, dan sebagai nya. Kalau tidak layak di pakai, jangan beri ijin di gunakan, menggangu kenyamanan, saya pelanggan grab sudah bertahun-tahun. Terimakasih",positif,atention please kepada grab officer mohon helm untuk penumpang di review secara berkala helm tidak layak pakai jangan di gunakan seperti helm tanpa kacahelm kaca kabur kaca tidak bisa di hold tidak bisa buka tutup helm kotor helm berbulu dan sebagai nya kalau tidak layak di pakai jangan beri ijin di gunakan menggangu kenyamanan saya pelanggan grab sudah bertahuntahun terimakasih,atention please grab officer mohon helm penumpang review berkala helm layak pakai helm kacahelm kaca kabur kaca hold buka tutup helm kotor helm berbulu nya layak pakai ijin menggangu kenyamanan pelanggan grab bertahuntahun terimakasih,atention please grab officer mohon helm tumpang review kala helm layak pakai helm kacahelm kaca kabur kaca hold buka tutup helm kotor helm bulu nya layak pakai ijin menggangu nyaman langgan grab bertahuntahun terimakasih
13,2,"Makin kesini makin mahal harga menu makanan, beli online sama beli di resto beda jauh banget harganya, belum lagi ditambah pajak, biaya aplikasi. saldo OVO pun tidak muncul jg diberanda, bikin ribet malahan... Tolong diperhatikan sebelum kehilangan pelanggan 1 per 1 🙏☺ Oiya 1 lagi, dengan dibolehkan driver ambil double order, membuat pengiriman tambah lama.. Yang bisanya 20 menit bisa jadi 1 jam lebih..",negatif,makin kesini makin mahal harga menu makanan beli online sama beli di resto beda jauh banget harganya belum lagi ditambah pajak biaya aplikasi saldo ovo pun tidak muncul jg diberanda bikin ribet malahan tolong diperhatikan sebelum kehilangan pelanggan per oiya lagi dengan dibolehkan driver ambil double order membuat pengiriman tambah lama yang bisanya menit bisa jadi jam lebih,kesini mahal harga menu makanan beli online beli resto beda banget harganya ditambah pajak biaya aplikasi saldo ovo muncul jg diberanda bikin ribet tolong diperhatikan kehilangan pelanggan oiya dibolehkan driver ambil double order pengiriman bisanya menit jam,kesini mahal harga menu makan beli online beli resto beda banget harga tambah pajak biaya aplikasi saldo ovo muncul jg beranda bikin ribet tolong perhati hilang langgan oiya boleh driver ambil double order kirim bisa menit jam
14,1,"Jelek banget sih ini tampilannya. Pesen grab bike tapi di gambar maps nya gambar mobil. Karena kaget, saya buru2 cancel karena saya kira saya salah pesan layanan. Setelah dicoba lagi ternyata saya udah bener, tampilannya aja yg ga jelas. Benerin lah balikin kayak dulu. Siapa sih yg ngide ini",negatif,jelek banget sih ini tampilannya pesen grab bike tapi di gambar maps nya gambar mobil karena kaget saya buru cancel karena saya kira saya salah pesan layanan setelah dicoba lagi ternyata saya udah bener tampilannya aja yg ga jelas benerin lah balikin kayak dulu siapa sih yg ngide ini,jelek banget sih tampilannya pesen grab bike gambar maps nya gambar mobil kaget buru cancel salah pesan layanan dicoba udah bener tampilannya aja yg ga benerin balikin kayak sih yg ngide,jelek banget sih tampil sen grab bike gambar maps nya gambar mobil kaget buru cancel salah pesan layan coba udah bener tampil aja yg ga benerin balikin kayak sih yg ngide
15,2,"Sulit sekali menghubungi call center grab!! Nomor telepon nya susah dicari, hrs dari pusat bantuan, yg jawab robot. Mau batalkan pesanan grabfood karena belum complete orderan nya susah sekali.. Jauh dari kata ""membantu"" malah jadi ""menyusahkan""",negatif,sulit sekali menghubungi call center grab nomor telepon nya susah dicari hrs dari pusat bantuan yg jawab robot mau batalkan pesanan grabfood karena belum complete orderan nya susah sekali jauh dari kata membantu malah jadi menyusahkan,sulit menghubungi call center grab nomor telepon nya susah dicari hrs pusat bantuan yg robot batalkan pesanan grabfood complete orderan nya susah membantu menyusahkan,sulit hubung call center grab nomor telepon nya susah cari hrs pusat bantu yg robot batal pesan grabfood complete order nya susah bantu susah
16,1,"Apk driver terus di update tapi orderannya makin kesini makin gak nentu,dari kemaren cuma 5/6 orderan,di tambah lagi malah sekarang juga ada sistem perencanaan orderan.itu bikin susah untuk dapet orderan buat yang tidak memalai sistem itu. Mohon di pertimbangkan lagi",negatif,apk driver terus di update tapi orderannya makin kesini makin gak nentudari kemaren cuma orderandi tambah lagi malah sekarang juga ada sistem perencanaan orderanitu bikin susah untuk dapet orderan buat yang tidak memalai sistem itu mohon di pertimbangkan lagi,apk driver update orderannya kesini gak nentudari kemaren orderandi sistem perencanaan orderanitu bikin susah dapet orderan memalai sistem mohon pertimbangkan,apk driver update order kesini gak nentudari kemaren orderandi sistem rencana orderanitu bikin susah dapet order malai sistem mohon timbang
17,1,"aplikasi bukan mempermudah malah bikin ribet , map yang di tunjukan ke driver seringkali ngaco ..sehingga membuat waktu penjemputan lebih lama , malah sering di cancel karena driver nyasar",negatif,aplikasi bukan mempermudah malah bikin ribet map yang di tunjukan ke driver seringkali ngaco sehingga membuat waktu penjemputan lebih lama malah sering di cancel karena driver nyasar,aplikasi mempermudah bikin ribet map tunjukan driver seringkali ngaco penjemputan cancel driver nyasar,aplikasi mudah bikin ribet map tunjuk driver seringkali ngaco jemput cancel driver nyasar
18,2,"Aplikasinya udah membantu dan bekerja dengan baik, cuma ada 1 kendala dimana kalau ada note atau catatan tidak bisa chat ke toko langsung/karena adanya kehabisan stock barang, alhasil saya dapat makanan yang tidak sesuai dengan keinginan saya. Mohon diperbaiki kembali sistem seperti itu supaya tidak terjadi ketidak sesuaiannya keinginan pembeli dengan barang yang didapat",negatif,aplikasinya udah membantu dan bekerja dengan baik cuma ada kendala dimana kalau ada note atau catatan tidak bisa chat ke toko langsungkarena adanya kehabisan stock barang alhasil saya dapat makanan yang tidak sesuai dengan keinginan saya mohon diperbaiki kembali sistem seperti itu supaya tidak terjadi ketidak sesuaiannya keinginan pembeli dengan barang yang didapat,aplikasinya udah membantu kendala dimana note catatan chat toko langsungkarena kehabisan stock barang alhasil makanan sesuai mohon diperbaiki sistem ketidak sesuaiannya pembeli barang,aplikasi udah bantu kendala mana note catat chat toko langsungkarena habis stock barang alhasil makan sesuai mohon baik sistem tidak sesuai beli barang
19,1,Sudah sering mendapatkan perilaku yang tidak mengenakkan dari driver grab. Cobalah lebih teliti dan lebih selektif lagi dalam memilih mitra. Kalau aja ada transportasi lain sudah males menggunakan grab.,negatif,sudah sering mendapatkan perilaku yang tidak mengenakkan dari driver grab cobalah lebih teliti dan lebih selektif lagi dalam memilih mitra kalau aja ada transportasi lain sudah males menggunakan grab,perilaku mengenakkan driver grab cobalah teliti selektif memilih mitra aja transportasi males grab,perilaku enak driver grab coba teliti selektif pilih mitra aja transportasi males grab
20,2,"Pusat bantuan nya tidak jelas, kurir sudah membatalkan pesanan karena restonya sudah tutup, tetapi duit saya belum kembali juga setelah pesanannya sudah di batalkan!!! Lumayan loh 70rb kalau hilang, harus bisa tanggung jawab dong pihak grab nya!!!",negatif,pusat bantuan nya tidak jelas kurir sudah membatalkan pesanan karena restonya sudah tutup tetapi duit saya belum kembali juga setelah pesanannya sudah di batalkan lumayan loh rb kalau hilang harus bisa tanggung jawab dong pihak grab nya,pusat bantuan nya kurir membatalkan pesanan restonya tutup duit pesanannya batalkan lumayan loh rb hilang tanggung grab nya,pusat bantu nya kurir batal pesan restonya tutup duit pesan batal lumayan loh rb hilang tanggung grab nya
21,5,"Kacau......niat buru2 malah dapat driver yang posisinya jauh terus, padahal 
di map banyak driver yang dekat dengan posisi saya. Mental terus ke yg 
jauh, kacau pokoknya. Kapan fitur grabnow launching di sukabumi? Biar saya 
lebih mudah memesan.",positif,kacauniat buru malah dapat driver yang posisinya jauh terus padahal di map banyak driver yang dekat dengan posisi saya mental terus ke yg jauh kacau pokoknya kapan fitur grabnow launching di sukabumi biar saya lebih mudah memesan,kacauniat buru driver posisinya map driver posisi mental yg kacau pokoknya fitur grabnow launching sukabumi biar mudah memesan,kacauniat buru driver posisi map driver posisi mental yg kacau pokok fitur grabnow launching sukabumi biar mudah mes
22,1,"Aplikasi kenapa sih, kalau login gak ada menu sama sekali, menu hilang semua! Apa akun saya diblokir, pdhal biasanya lancar2 aja & gkda keluhan.",negatif,aplikasi kenapa sih kalau login gak ada menu sama sekali menu hilang semua apa akun saya diblokir pdhal biasanya lancar aja gkda keluhan,aplikasi sih login gak menu menu hilang akun diblokir pdhal lancar aja gkda keluhan,aplikasi sih login gak menu menu hilang akun blokir pdhal lancar aja gkda keluh
23,5,"Isi aplikasi link superbank, ga sekali jadi/selesai suka bikin jengkel, dah cape isi data, macet, ulang lagi dari awal. Trus kenapa saldo ga di munculkan di dasbot, bagi saya lebih penting saldo, dari pada link superbank",positif,isi aplikasi link superbank ga sekali jadiselesai suka bikin jengkel dah cape isi data macet ulang lagi dari awal trus kenapa saldo ga di munculkan di dasbot bagi saya lebih penting saldo dari pada link superbank,isi aplikasi link superbank ga jadiselesai suka bikin jengkel dah cape isi data macet ulang trus saldo ga munculkan dasbot saldo link superbank,isi aplikasi link superbank ga jadiselesai suka bikin jengkel dah cape isi data macet ulang trus saldo ga muncul dasbot saldo link superbank
24,5,"Sebenernya overall sudah bagus semua , cuma saya ingin menyarankan terutama untuk pengemudi perempuan/ibu² untuk lebih berhati² lagi dalam berkendara dan selalu perhatikan maps yang di tuju , soal nya saya agak risih kalo harus ngasih tau jalan dari awal berangkat sampai tujuan. Terima kasih",positif,sebenernya overall sudah bagus semua cuma saya ingin menyarankan terutama untuk pengemudi perempuanibu untuk lebih berhati lagi dalam berkendara dan selalu perhatikan maps yang di tuju soal nya saya agak risih kalo harus ngasih tau jalan dari awal berangkat sampai tujuan terima kasih,sebenernya overall bagus menyarankan pengemudi perempuanibu berhati berkendara perhatikan maps tuju nya risih kalo ngasih tau jalan berangkat tujuan terima kasih,sebenernya overall bagus saran kemudi perempuanibu hati kendara perhati maps tuju nya risih kalo ngasih tau jalan berangkat tuju terima kasih
25,1,"Menyebalkan terlalu sering harus upgrade, bikin kuota berkurang & klw lg buru2 mau pesan, malah habis waktu hrs upgrade dulu.",negatif,menyebalkan terlalu sering harus upgrade bikin kuota berkurang klw lg buru mau pesan malah habis waktu hrs upgrade dulu,menyebalkan upgrade bikin kuota berkurang klw lg buru pesan habis hrs upgrade,sebal upgrade bikin kuota kurang klw lg buru pesan habis hrs upgrade
26,1,Saya kecewa dengan apk grab baru jg pilih menu blum apa apa langsung order dengan nominal yg gede tanpa ada order dan ga bisa di batalkan padahal sudah pusat bantuan juga tidak ngaruh sangat kecewa banget,negatif,saya kecewa dengan apk grab baru jg pilih menu blum apa apa langsung order dengan nominal yg gede tanpa ada order dan ga bisa di batalkan padahal sudah pusat bantuan juga tidak ngaruh sangat kecewa banget,kecewa apk grab jg pilih menu blum langsung order nominal yg gede order ga batalkan pusat bantuan ngaruh kecewa banget,kecewa apk grab jg pilih menu blum langsung order nominal yg gede order ga batal pusat bantu ngaruh kecewa banget
27,4,"Udah lumayan bagus sihh , tapi yang bikin saya ga suka ketika saya mendaftar awal nya lancar "" aja ketika di waktu pengisian lokasi, saya udah ketik lokasi saya tetapi tidak ada lokasi saya lalu saya coba lagi tetap aja ga muncul alamat sayaa , padahal udah coba berulang kali masihh aja tetep ga bisa tolong kalau mau menyelidiki alamat di teliti dongg kalau begini saya ga bisa pesan makanan?",positif,udah lumayan bagus sihh tapi yang bikin saya ga suka ketika saya mendaftar awal nya lancar aja ketika di waktu pengisian lokasi saya udah ketik lokasi saya tetapi tidak ada lokasi saya lalu saya coba lagi tetap aja ga muncul alamat sayaa padahal udah coba berulang kali masihh aja tetep ga bisa tolong kalau mau menyelidiki alamat di teliti dongg kalau begini saya ga bisa pesan makanan,udah lumayan bagus sihh bikin ga suka mendaftar nya lancar aja pengisian lokasi udah ketik lokasi lokasi coba aja ga muncul alamat sayaa udah coba berulang kali masihh aja tetep ga tolong menyelidiki alamat teliti dongg ga pesan makanan,udah lumayan bagus sihh bikin ga suka daftar nya lancar aja isi lokasi udah ketik lokasi lokasi coba aja ga muncul alamat sayaa udah coba ulang kali masihh aja tetep ga tolong selidik alamat teliti dongg ga pesan makan
28,5,Alhamdulillah dengan menggunakan grabcar perjalanan selalu lancar dan menyenangkan. Terutama kendaraannya selalu dapet yg bagus dan drivernya ramah,positif,alhamdulillah dengan menggunakan grabcar perjalanan selalu lancar dan menyenangkan terutama kendaraannya selalu dapet yg bagus dan drivernya ramah,alhamdulillah grabcar perjalanan lancar menyenangkan kendaraannya dapet yg bagus drivernya ramah,alhamdulillah grabcar jalan lancar senang kendara dapet yg bagus drivernya ramah
29,1,"Warungnya tutup tapi saya bisa pesan, mau dicancel tapi gabisa, di suruh cancel sm driver sama aja ngga bisa, cuma ganti driver dan terulang ulang lagi, pliss sayaa sedsng sakit dan mau pesan makan saja kog gabisa, mending pakai gojek saja",negatif,warungnya tutup tapi saya bisa pesan mau dicancel tapi gabisa di suruh cancel sm driver sama aja ngga bisa cuma ganti driver dan terulang ulang lagi pliss sayaa sedsng sakit dan mau pesan makan saja kog gabisa mending pakai gojek saja,warungnya tutup pesan dicancel gabisa suruh cancel sm driver aja ngga ganti driver terulang ulang pliss sayaa sedsng sakit pesan makan kog gabisa mending pakai gojek,warung tutup pesan dicancel gabisa suruh cancel sm driver aja ngga ganti driver ulang ulang pliss sayaa sedsng sakit pesan makan kog gabisa mending pakai gojek
30,2,"Aplikasi Grab ketika layar HP di kunci atau sedang membuka aplikasi lain malah tidak ada muncul bunyi Notifikasi mengenai Pelacakan Pesanan, Chat dengan Driver dan Telefon dari Driver, nanti saat kita kembali membuka Aplikasi Grab baru muncul dan setelah dicek ternyata sudah dihubungi melalui Chat dan Telfon dari 30 mnit yang lalu, namun nanti Notifikasi tersebut muncul saat membuka kembali Aplikasi. Hal ini membuat saya dan Driver kurang nyaman karena adanya miskomunikasi akibat sistem Aplikasi",negatif,aplikasi grab ketika layar hp di kunci atau sedang membuka aplikasi lain malah tidak ada muncul bunyi notifikasi mengenai pelacakan pesanan chat dengan driver dan telefon dari driver nanti saat kita kembali membuka aplikasi grab baru muncul dan setelah dicek ternyata sudah dihubungi melalui chat dan telfon dari mnit yang lalu namun nanti notifikasi tersebut muncul saat membuka kembali aplikasi hal ini membuat saya dan driver kurang nyaman karena adanya miskomunikasi akibat sistem aplikasi,aplikasi grab layar hp kunci membuka aplikasi muncul bunyi notifikasi pelacakan pesanan chat driver telefon driver membuka aplikasi grab muncul dicek dihubungi chat telfon mnit notifikasi muncul membuka aplikasi driver nyaman miskomunikasi akibat sistem aplikasi,aplikasi grab layar hp kunci buka aplikasi muncul bunyi notifikasi lacak pesan chat driver telefon driver buka aplikasi grab muncul cek hubung chat telfon mnit notifikasi muncul buka aplikasi driver nyaman miskomunikasi akibat sistem aplikasi
31,2,"Makin kesini makin aneh, setiap saya mesan gofood walau saya bayar yang express estimasi waktu gak pernah pas terkadang juga dapat dua orderan satu driver, tapi malah terkadang saya yang mesan duluan pesanan saya di antar terakhir, jadi sewaktu makanan datang sudah dingin. Tolong di perbarui lah",negatif,makin kesini makin aneh setiap saya mesan gofood walau saya bayar yang express estimasi waktu gak pernah pas terkadang juga dapat dua orderan satu driver tapi malah terkadang saya yang mesan duluan pesanan saya di antar terakhir jadi sewaktu makanan datang sudah dingin tolong di perbarui lah,kesini aneh mesan gofood bayar express estimasi gak pas terkadang orderan driver terkadang mesan duluan pesanan makanan dingin tolong perbarui,kesini aneh mesan gofood bayar express estimasi gak pas terkadang order driver terkadang mesan duluan pesan makan dingin tolong baru
32,1,"PLEASE mending pake aplikasi lain aja daripada pake Grab, gajelas tadi aku mau pesen makan trus ada promo diskon 45% trus pas udah aku bayar aku kepikiran mau nambah lagi makamanya eh setelah balik ke pembayaran diskon 45% nya ilang, padahal blom dipake lo,blom dipencer juga tombol pesanya, GAJELAS",negatif,please mending pake aplikasi lain aja daripada pake grab gajelas tadi aku mau pesen makan trus ada promo diskon trus pas udah aku bayar aku kepikiran mau nambah lagi makamanya eh setelah balik ke pembayaran diskon nya ilang padahal blom dipake loblom dipencer juga tombol pesanya gajelas,please mending pake aplikasi aja pake grab gajelas pesen makan trus promo diskon trus pas udah bayar kepikiran nambah makamanya eh pembayaran diskon nya ilang blom dipake loblom dipencer tombol pesanya gajelas,please mending pake aplikasi aja pake grab gajelas sen makan trus promo diskon trus pas udah bayar pikir nambah makamanya eh bayar diskon nya ilang blom dipake loblom dipencer tombol pesa gajelas
